,graph,grammar,iterations_cpu1,control_sum_cpu1,time_cpu1,mem_cpu1,iterations_cpu3,control_sum_cpu3,time_cpu3,mem_cpu3
0,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.273383,22.3203125,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.552961,-3.44140625
1,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.721959,2924.78125,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.204294,1755.91796875
2,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.830775,0.0,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.215668,41.2421875
3,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.674271,-1.48828125,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.438128,1654.05859375
4,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.20581,2037.07421875,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.6442,1399.421875
5,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",7.091109,759.859375,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.432268,-3.44140625
6,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.867259,-4.7734375,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.280518,2665.86328125
7,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.576048,14.0,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.320037,207.125
8,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.575894,669.5625,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.06944,-3.44140625
9,geospeices.txt,geo.cnf,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",6.474182,6799.37109375,7,"s: 226669749, bt: 20867, s1: 21361542, btr: 20867",12.046377,-3.44140625
10,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.002191,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.009782,0.0
11,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.002256,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.009808,0.0
12,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.002171,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.009801,0.0
13,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.002183,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.006105,0.0
14,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.000815,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.009809,0.0
15,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.002259,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.004664,0.0
16,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.002155,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.009811,0.0
17,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.002151,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.009812,0.0
18,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.002267,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.006613,0.0
19,directed_free_scale_net_500_1.txt,an_bm_cm_dn.txt,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.145697,0.0,4,"S: 4, A: 120, S1: 0, D: 96, S2: 17, X: 48, B: 153, C: 131, X1: 4",0.009785,0.0
20,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.007568,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.020986,0.0
21,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.00763,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.010894,0.0
22,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.005898,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.021107,0.0
23,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.007607,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.021003,0.0
24,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.007653,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.162035,0.0
25,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.007625,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.00848,0.0
26,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.005924,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.008311,0.0
27,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.00765,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.020507,0.0
28,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.007619,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.020936,0.0
29,directed_free_scale_net_500_3.txt,an_bm_cm_dn.txt,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.007683,0.0,7,"S: 194, A: 354, S1: 22, D: 384, S2: 299, X: 641, B: 376, C: 380, X1: 563",0.021078,0.0
30,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.004018,0.51171875,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.010013,0.0
31,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.00832,0.25,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.034367,0.0
32,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.018139,0.0,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.03445,0.0
33,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.018176,0.2578125,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.034315,0.0
34,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.018191,0.0,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.034166,0.0
35,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.018324,0.25390625,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.011168,0.0
36,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.018194,0.0,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.034806,0.0
37,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.008222,0.0,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.034043,0.0
38,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.018152,0.25390625,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.033642,0.0
39,directed_free_scale_net_500_5.txt,an_bm_cm_dn.txt,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.018037,0.0,9,"S: 1884, A: 636, S1: 1251, D: 619, S2: 1951, X: 2576, B: 630, C: 604, X1: 2326",0.011364,0.0
40,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.056124,0.171875,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.020433,0.0
41,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.056609,0.3125,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.041352,0.0
42,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.045362,0.0390625,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.040166,0.1953125
43,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.048492,0.0,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.040067,0.19140625
44,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.062985,0.0,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.040679,0.0
45,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.065644,0.2265625,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.040056,0.21484375
46,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.164747,0.23046875,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.040807,0.0
47,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.073434,0.27734375,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.040444,0.0
48,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.067109,0.59765625,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.039894,0.21875
49,directed_free_scale_net_500_10.txt,an_bm_cm_dn.txt,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.07625,0.1484375,8,"S: 8793, A: 1252, S1: 7907, D: 1247, S2: 8799, X: 8935, B: 1208, C: 1234, X1: 8454",0.041269,0.0
